INA219 - Current: 0.410 A, Voltage: 8.75 V, Power: 3.556 W (Heat: 51%)
INA219 - Current: 0.658 A, Voltage: 8.78 V, Power: 5.780 W (Heat: 51%)
INA219 - Current: 0.906 A, Voltage: 8.90 V, Power: 8.062 W (Heat: 51%)
INA219 - Current: 0.980 A, Voltage: 9.02 V, Power: 10.400 W (Heat: 51%)
INA219 - Current: 1.187 A, Voltage: 9.05 V, Power: 9.172 W (Heat: 51%)
INA219 - Current: 0.939 A, Voltage: 8.94 V, Power: 8.458 W (Heat: 51%)
INA219 - Current: 0.691 A, Voltage: 8.83 V, Power: 6.154 W (Heat: 51%)
INA219 - Current: 0.443 A, Voltage: 8.72 V, Power: 3.900 W (Heat: 51%)
INA219 - Current: 0.196 A, Voltage: 8.60 V, Power: 1.700 W (Heat: 51%)
INA219 - Current: 0.109 A, Voltage: 8.62 V, Power: 0.930 W (Heat: 51%)
INA219 - Current: 0.357 A, Voltage: 8.73 V, Power: 3.086 W (Heat: 51%)
INA219 - Current: 0.604 A, Voltage: 8.76 V, Power: 5.292 W (Heat: 51%)
INA219 - Current: 0.852 A, Voltage: 8.87 V, Power: 7.554 W (Heat: 51%)
INA219 - Current: 0.925 A, Voltage: 8.99 V, Power: 9.866 W (Heat: 51%)
INA219 - Current: 1.171 A, Voltage: 9.07 V, Power: 9.700 W (Heat: 51%)
INA219 - Current: 0.994 A, Voltage: 8.96 V, Power: 7.360 W (Heat: 51%)
INA219 - Current: 0.748 A, Voltage: 8.86 V, Power: 6.672 W (Heat: 51%)
INA219 - Current: 0.501 A, Voltage: 8.75 V, Power: 4.414 W (Heat: 51%)
INA219 - Current: 0.254 A, Voltage: 8.62 V, Power: 2.212 W (Heat: 51%)
INA219 - Current: 0.058 A, Voltage: 8.60 V, Power: 0.498 W (Heat: 51%)
INA219 - Current: 0.296 A, Voltage: 8.70 V, Power: 2.550 W (Heat: 51%)
INA219 - Current: 0.542 A, Voltage: 8.73 V, Power: 4.736 W (Heat: 51%)
INA219 - Current: 0.789 A, Voltage: 8.84 V, Power: 6.980 W (Heat: 51%)
INA219 - Current: 0.862 A, Voltage: 8.96 V, Power: 9.270 W (Heat: 51%)
INA219 - Current: 1.107 A, Voltage: 9.08 V, Power: 10.272 W (Heat: 51%)
INA219 - Current: 1.058 A, Voltage: 8.99 V, Power: 7.956 W (Heat: 51%)
INA219 - Current: 0.812 A, Voltage: 8.88 V, Power: 7.264 W (Heat: 51%)
INA219 - Current: 0.566 A, Voltage: 8.77 V, Power: 5.000 W (Heat: 51%)
INA219 - Current: 0.319 A, Voltage: 8.66 V, Power: 2.788 W (Heat: 51%)
INA219 - Current: 0.073 A, Voltage: 8.57 V, Power: 0.630 W (Heat: 51%)
INA219 - Current: 0.231 A, Voltage: 8.68 V, Power: 1.990 W (Heat: 51%)
INA219 - Current: 0.477 A, Voltage: 8.70 V, Power: 4.152 W (Heat: 51%)
INA219 - Current: 0.723 A, Voltage: 8.81 V, Power: 6.374 W (Heat: 51%)
INA219 - Current: 0.969 A, Voltage: 8.92 V, Power: 8.650 W (Heat: 51%)
INA219 - Current: 1.041 A, Voltage: 9.05 V, Power: 10.824 W (Heat: 51%)
INA219 - Current: 1.124 A, Voltage: 9.02 V, Power: 8.576 W (Heat: 51%)
INA219 - Current: 0.878 A, Voltage: 8.91 V, Power: 7.888 W (Heat: 51%)
INA219 - Current: 0.633 A, Voltage: 8.80 V, Power: 5.616 W (Heat: 51%)
INA219 - Current: 0.387 A, Voltage: 8.69 V, Power: 3.394 W (Heat: 51%)
INA219 - Current: 0.142 A, Voltage: 8.56 V, Power: 1.226 W (Heat: 51%)
INA219 - Current: 0.162 A, Voltage: 8.64 V, Power: 1.386 W (Heat: 51%)
INA219 - Current: 0.407 A, Voltage: 8.75 V, Power: 3.530 W (Heat: 51%)
INA219 - Current: 0.652 A, Voltage: 8.78 V, Power: 5.728 W (Heat: 51%)
INA219 - Current: 0.899 A, Voltage: 8.89 V, Power: 7.986 W (Heat: 51%)
INA219 - Current: 0.971 A, Voltage: 9.01 V, Power: 10.306 W (Heat: 51%)
INA219 - Current: 1.195 A, Voltage: 9.05 V, Power: 9.248 W (Heat: 51%)
INA219 - Current: 0.948 A, Voltage: 8.93 V, Power: 8.550 W (Heat: 51%)
INA219 - Current: 0.704 A, Voltage: 8.84 V, Power: 6.272 W (Heat: 51%)
INA219 - Current: 0.459 A, Voltage: 8.73 V, Power: 4.040 W (Heat: 51%)
INA219 - Current: 0.214 A, Voltage: 8.60 V, Power: 1.862 W (Heat: 51%)
INA219 - Current: 0.088 A, Voltage: 8.61 V, Power: 0.756 W (Heat: 51%)
INA219 - Current: 0.333 A, Voltage: 8.72 V, Power: 2.878 W (Heat: 51%)
INA219 - Current: 0.578 A, Voltage: 8.75 V, Power: 5.060 W (Heat: 51%)
INA219 - Current: 0.824 A, Voltage: 8.86 V, Power: 7.298 W (Heat: 51%)
